date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1962-02-03,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,SCOT,SCOTLAND,FT,3,8
1962-01-20,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,WALES,WALES,FT,0,0
1962-01-13,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,FRA,FRANCE,FT,3,11
1961-11-12,"STADE JEAN DAUGER, BAYONNE",ROMANIA TOUR IN FRANCE 1961,FRA,FRANCE,ROM,ROMANIA,FT,5,5
1961-11-05,"STADIONUL DINAMO, BUCHAREST",EAST GERMANY TOUR IN ROMANIA 1961,ROM,ROMANIA,EG,EAST GERMANY,FT,27,0
1961-10-15,"ATLETIKSTADION, ODENSE",SWEDEN TOUR IN DENMARK 1961,DEN,DENMARK,SWED,SWEDEN,FT,12,12
1961-10-14,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,URUG,URUGUAY,ARG,ARGENTINA,FT,3,36
1961-10-14,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,CHI,CHILE,BRA,BRAZIL,FT,34,5
1961-10-12,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,ARG,ARGENTINA,BRA,BRAZIL,FT,60,0
1961-10-12,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,URUG,URUGUAY,CHI,CHILE,FT,5,28
1961-10-08,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,URUG,URUGUAY,BRA,BRAZIL,FT,11,8
1961-10-07,"CARRASCO POLO CLUB, MONTEVIDEO",SOUTH AMERICAN CHAMPIONSHIP,ARG,ARGENTINA,CHI,CHILE,FT,11,3
1961-10-01,"RUDOLF-KALWEIT-STADION, HANOVER",POLAND TOUR IN GERMANY 1961,,WEST GERMANY,POL,POLAND,FT,11,3
1961-08-26,"CRICKET GROUND, SYDNEY",FRANCE TOUR IN AUSTRALIA 1961,AUS,AUSTRALIA,FRA,FRANCE,FT,8,15
1961-08-19,"JADE STADIUM (LANCASTER PARK), CHRISTCHURCH",FRANCE TOUR IN AUSTRALIA 1961,NZL,NEW ZEALAND,FRA,FRANCE,FT,32,3
